Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-09-08,4.420000076293945,4.519999980926514,4.360000133514404,4.519999980926514,6300.0
2014-09-09,4.5,4.5,4.260000228881836,4.519999980926514,51900.0
2014-09-10,4.400000095367432,4.639999866485596,4.380000114440918,4.820000171661377,4800.0
2014-09-11,4.760000228881836,4.400000095367432,4.380000114440918,4.820000171661377,81700.0
2014-09-12,4.239999771118164,4.199999809265137,4.199999809265137,4.480000019073486,7300.0
2014-09-15,4.21999979019165,4.460000038146973,4.119999885559082,4.460000038146973,7500.0
2014-09-16,4.360000133514404,4.300000190734863,4.239999771118164,4.5,5700.0
2014-09-17,4.300000190734863,4.159999847412109,4.119999885559082,4.5,2400.0
2014-09-18,4.119999885559082,4.059999942779541,4.059999942779541,4.199999809265137,7800.0
2014-09-19,4.099999904632568,4.0,3.940000057220459,4.21999979019165,13100.0
2014-09-22,3.9200000762939453,4.0,3.9200000762939453,4.059999942779541,8200.0
2014-09-23,4.039999961853027,3.9800000190734863,3.9200000762939453,4.139999866485596,5400.0
2014-09-24,4.039999961853027,4.159999847412109,3.9000000953674316,4.159999847412109,3200.0
2014-09-25,4.179999828338623,4.099999904632568,4.099999904632568,4.360000133514404,1500.0
2014-09-26,4.039999961853027,4.019999980926514,4.019999980926514,4.099999904632568,200.0
2014-09-29,4.0,4.0,3.9200000762939453,4.119999885559082,7400.0
2014-09-30,3.940000057220459,3.9800000190734863,3.940000057220459,4.0,900.0
2014-10-01,4.0,4.0,3.9800000190734863,4.0,2600.0
2014-10-02,4.0,4.0,3.880000114440918,4.039999961853027,16400.0
2014-10-03,4.0,3.9800000190734863,3.9800000190734863,4.099999904632568,6200.0
2014-10-06,3.9800000190734863,3.9800000190734863,3.880000114440918,3.9800000190734863,1200.0
2014-10-07,3.9000000953674316,4.0,3.880000114440918,4.0,1100.0
2014-10-08,4.0,3.700000047683716,3.200000047683716,4.0,20000.0
2014-10-09,3.700000047683716,3.700000047683716,3.700000047683716,3.700000047683716,100.0
2014-10-10,3.700000047683716,6.599999904632568,3.700000047683716,6.599999904632568,1962300.0
2014-10-13,6.980000019073486,5.880000114440918,4.900000095367432,7.0,806000.0
2014-10-14,5.159999847412109,4.400000095367432,4.159999847412109,5.300000190734863,327300.0
2014-10-15,4.5,4.320000171661377,4.079999923706055,4.599999904632568,123100.0
2014-10-16,4.699999809265137,5.800000190734863,4.559999942779541,7.400000095367432,3933600.0
2014-10-17,5.5,5.460000038146973,4.940000057220459,5.880000114440918,623300.0
2014-10-20,4.880000114440918,4.559999942779541,4.460000038146973,4.960000038146973,169600.0
2014-10-21,4.480000019073486,4.21999979019165,4.199999809265137,4.659999847412109,103300.0
2014-10-22,4.239999771118164,4.179999828338623,3.9200000762939453,4.480000019073486,100500.0
2014-10-23,4.0,4.300000190734863,3.940000057220459,4.480000019073486,112900.0
2014-10-24,4.400000095367432,4.199999809265137,4.099999904632568,4.599999904632568,131000.0
2014-10-27,4.199999809265137,4.28000020980835,4.139999866485596,4.400000095367432,9200.0
2014-10-28,4.300000190734863,3.7200000286102295,3.640000104904175,4.340000152587891,86400.0
2014-10-29,3.7799999713897705,3.819999933242798,3.440000057220459,3.819999933242798,55900.0
2014-10-30,3.880000114440918,3.7200000286102295,3.5399999618530273,3.880000114440918,21500.0
2014-10-31,3.640000104904175,3.740000009536743,3.5199999809265137,3.8399999141693115,15200.0
2014-11-03,3.7799999713897705,3.7200000286102295,3.7200000286102295,3.9200000762939453,21500.0
2014-11-04,3.759999990463257,3.5,3.380000114440918,3.8399999141693115,27400.0
