Date,osisopen,osisclose,osislow,osishigh,osisvolume
2017-11-22,90.04000091552734,88.95999908447266,88.88999938964844,90.44999694824219,118100
2017-11-24,89.1500015258789,88.83000183105469,88.58000183105469,89.3499984741211,50800
2017-11-27,89.0,88.76000213623047,87.48999786376953,89.37000274658203,233300
2017-11-28,88.9000015258789,88.31999969482422,86.6500015258789,89.5999984741211,199500
2017-11-29,88.20999908447266,86.91000366210938,86.69999694824219,88.63999938964844,171300
2017-11-30,87.3499984741211,86.66000366210938,86.30999755859375,87.3499984741211,210000
2017-12-01,86.63999938964844,84.5,84.20999908447266,86.76000213623047,223500
2017-12-04,85.26000213623047,83.80000305175781,83.80000305175781,87.19000244140625,139800
2017-12-05,84.01000213623047,84.06999969482422,83.72000122070312,84.8499984741211,89600
2017-12-06,83.87000274658203,59.52000045776367,53.79999923706055,85.23999786376953,10596800
2017-12-07,65.19999694824219,64.12999725341797,62.650001525878906,66.0,2938500
2017-12-08,64.25,68.41999816894531,64.05000305175781,68.5,838600
2017-12-11,68.20999908447266,66.43000030517578,65.16000366210938,68.69000244140625,701400
2017-12-12,66.16000366210938,67.0999984741211,65.27999877929688,67.44999694824219,314000
2017-12-13,66.9000015258789,66.37999725341797,65.72000122070312,68.44000244140625,412700
2017-12-14,66.4000015258789,65.19000244140625,64.94999694824219,67.19000244140625,289300
2017-12-15,65.41000366210938,65.7699966430664,65.41000366210938,66.73999786376953,639300
2017-12-18,66.0999984741211,67.30000305175781,66.0199966430664,67.66999816894531,401000
2017-12-19,67.25,66.4800033569336,66.20999908447266,67.5199966430664,315500
2017-12-20,66.91000366210938,66.4800033569336,65.8499984741211,67.16000366210938,211600
2017-12-21,66.56999969482422,66.69999694824219,66.05999755859375,66.87999725341797,388700
2017-12-22,66.83999633789062,65.91000366210938,65.58000183105469,66.83999633789062,345700
2017-12-26,65.58000183105469,64.4800033569336,64.0999984741211,65.83000183105469,210100
2017-12-27,64.5,64.19000244140625,63.84000015258789,64.83999633789062,294100
2017-12-28,64.0999984741211,63.91999816894531,62.0,64.69999694824219,458000
2017-12-29,64.29000091552734,64.37999725341797,64.0,65.01000213623047,311200
2018-01-02,64.8499984741211,65.12000274658203,63.41999816894531,65.83000183105469,173700
2018-01-03,65.33000183105469,65.6500015258789,65.19000244140625,65.88999938964844,231400
2018-01-04,65.80999755859375,66.20999908447266,65.04000091552734,66.37999725341797,256400
2018-01-05,66.26000213623047,66.68000030517578,65.75,66.7300033569336,164200
2018-01-08,66.38999938964844,66.20999908447266,65.44999694824219,66.81999969482422,286000
2018-01-09,66.19999694824219,64.77999877929688,64.69000244140625,66.33999633789062,296500
2018-01-10,64.94999694824219,67.20999908447266,63.66999816894531,67.66999816894531,470700
2018-01-11,67.2699966430664,67.48999786376953,66.52999877929688,67.95999908447266,292700
2018-01-12,67.62999725341797,67.68000030517578,66.61000061035156,68.22000122070312,214100
2018-01-16,71.98999786376953,71.66999816894531,70.18000030517578,73.27999877929688,1137700
